id;description;institution_financiere;date_debut;montant_candidat;validation_candidat
1;mobile Fish;Home Loan Account Table Computer;2020-06-02;45924;86617
2;Savings Account alarm;Tasty Metal Bacon;2020-06-01;21233;77
3;Officer;methodology Albania;2020-06-02;2306;29122
4;Investment Account Steel;Coordinator;2020-06-02;45606;9060
5;Savings Account syndicate Planner;Refined Rubber Chicken Table;2020-06-02;1326;94888
6;Planner cross-platform access;Public-key;2020-06-02;44015;68326
7;Investment Account;Games Regional Digitized;2020-06-02;75536;31171
8;Costa Rica Mayotte;Industrial;2020-06-01;77513;44975
9;e-enable Communications capacitor;Awesome;2020-06-02;52083;4522
10;software scale interactive;Louisiana Specialist Home Loan Account;2020-06-02;14092;29627
