id;temps_alerte;type_message;mesage_creation;message_execution;message_fin;deleted
1;37454;DELAI;Computer Practical Fresh Pants;Metal deposit;Producer;true
2;93855;ALERTEFIN;Money Market Account;Albania web-readiness;Namibia;false
3;13949;ALERTEDEBUT;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;false
4;1326;DELAI;Public-key;infomediaries;Investment Account;true
5;3438;ALERTEDEBUT;invoice;convergence;Mayotte;false
6;3131;ALERTEFIN;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true
7;35675;ALERTEFIN;Small;deliverables reinvent 24 hour;overriding;true
8;71134;ALERTEEXECUTION;Internal;Investment Account archive Fantastic Plastic Chicken;payment;true
9;63755;ALERTEDEBUT;Frozen bus;hard drive Robust Networked;Poland;false
10;11089;DELAI;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;false
