id;description;date;valide;deleted
1;Argentine Peso Handcrafted Rubber Sausages Officer;2020-05-26;true;false
2;algorithm Metal card;2020-05-26;true;false
3;experiences online program;2020-05-26;true;false
4;South Georgia and the South Sandwich Islands;2020-05-25;false;true
5;one-to-one Connecticut;2020-05-26;false;true
6;Greenland models streamline;2020-05-26;false;true
7;Senegal withdrawal;2020-05-25;true;true
8;e-commerce SSL web-readiness;2020-05-26;true;true
9;Outdoors;2020-05-26;true;false
10;Data Tasty Steel Pants Licensed Steel Shirt;2020-05-26;false;false
