id;description;date;heure_debut;heure_fin;lieu;salle;deleted
1;olive;2020-05-26;Checking Account;multi-byte Salad;Idaho bandwidth;Visionary pixel SAS;true
2;matrix Belize Dollar maroon;2020-05-26;Senior;deposit;fuchsia Music Salad;withdrawal circuit;true
3;Money Market Account end-to-end navigating;2020-05-26;Computers generating;users Guinea;SQL lavender;transmit Wooden COM;false
4;Central digital supply-chains;2020-05-26;optimal Peru;incentivize purple;navigating Liaison;Corporate Lari;true
5;programming;2020-05-26;generating;actuating India;Buckinghamshire microchip;Games;false
6;Future;2020-05-25;Money Market Account Credit Card Account withdrawal;Virginia;niches drive Ireland;strategic;true
7;Car Generic compress;2020-05-26;compressing action-items;monitor methodology West Virginia;reintermediate Factors;sensor;false
8;Beauty;2020-05-26;Auto Loan Account;indexing;Savings Account extensible connect;robust;false
9;supply-chains feed Investment Account;2020-05-26;Licensed;auxiliary;Engineer Toys Fantastic;Licensed;true
10;Soft Quality Mount;2020-05-26;Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;false
