id;activite_id;reference_arrete;poste;deleted
1;9998;Small Frozen Salad bypassing;OBSERVATEUR;false
2;57343;deposit Common;MEMBRE;true
3;21272;Data neural Wooden;OBSERVATEUR;true
4;35091;Frozen Metal program;RAPPORTEUR;true
5;22257;revolutionize;OBSERVATEUR;true
6;37427;transition open-source Interactions;RAPPORTEUR;true
7;37798;system Triple-buffered;RAPPORTEUR;false
8;1135;Parkway Handmade Wooden Cheese;MEMBRE;true
9;68103;Versatile seize;PRESIDENT;false
10;96322;Industrial Designer Incredible Fresh Car;RAPPORTEUR;true
